iter	Passed	Remaining
145	3762	47781
146	3787	47738
147	3811	47696
148	3835	47649
149	3860	47617
150	3886	47584
151	3911	47554
152	3936	47521
153	3961	47484
154	3985	47437
155	4010	47405
156	4035	47374
157	4062	47359
158	4088	47334
159	4113	47301
160	4137	47262
161	4162	47227
162	4188	47204
163	4214	47180
164	4238	47141
165	4263	47103
166	4287	47063
167	4312	47027
168	4339	47016
169	4365	46990
170	4389	46954
171	4415	46922
172	4440	46896
173	4466	46870
174	4490	46832
175	4514	46784
176	4539	46756
177	4565	46732
178	4589	46690
179	4614	46658
180	4640	46637
181	4664	46595
182	4688	46556
183	4713	46519
184	4738	46491
185	4764	46469
186	4790	46444
187	4814	46407
188	4841	46389
189	4867	46368
190	4890	46323
191	4915	46291
192	4940	46256
193	4966	46234
194	4991	46201
195	5016	46170
196	5042	46147
197	5065	46105
198	5090	46069
199	5114	46033
200	5138	45989
201	5163	45963
202	5188	45930
203	5213	45898
204	5237	45864
205	5264	45846
206	5288	45809
207	5315	45796
208	5340	45760
209	5364	45723
210	5388	45686
211	5413	45659
212	5438	45625
213	5463	45600
214	5489	45572
215	5514	45548
216	5537	45500
217	5561	45462
218	5585	45425
219	5611	45403
220	5635	45365
221	5660	45338
222	5685	45302
223	5711	45282
224	5735	45249
225	5760	45220
226	5786	45192
227	5811	45168
228	5836	45135
229	5861	45110
230	5886	45082
231	5911	45051
232	5936	45019
233	5959	44976
234	5983	44941
235	6008	44913
236	6034	44891
237	6059	44862
238	6085	44836
239	6110	44809
240	6134	44774
241	6160	44753
242	6186	44730
243	6211	44704
244	6236	44670
245	6260	44638
246	6283	44597
247	6309	44575
248	6334	44543
249	6359	44516
250	6383	44477
251	6408	44453
252	6433	44425
253	6459	44403
254	6484	44374
255	6509	44344
256	6534	44317
257	6557	44276
258	6582	44250
259	6608	44222
260	6632	44193
261	6657	44159
262	6682	44136
263	6708	44116
264	6733	44087
265	6758	44059
266	6783	44031
267	6808	44003
268	6833	43975
269	6858	43944
270	6885	43926
271	6909	43895
272	6934	43868
273	6959	43840
274	6983	43804
275	7007	43774
276	7032	43745
277	7057	43714
278	7082	43686
279	7105	43650
280	7131	43625
281	7156	43598
282	7182	43576
283	7220	43629
284	7245	43598
285	7270	43569
286	7303	43589
287	7328	43561
288	7351	43525
289	7376	43496
290	7401	43467
291	7426	43438
292	7452	43417
293	7479	43398
294	7504	43371
295	7529	43344
296	7552	43308
297	7579	43288
298	7603	43255
299	7628	43227
300	7652	43193
301	7677	43166
302	7701	43132
303	7726	43105
304	7750	43075
305	7775	43042
306	7798	43005
307	7825	42986
308	7850	42959
309	7875	42936
310	7900	42907
311	7926	42883
312	7951	42856
313	7976	42831
314	8003	42811
315	8028	42784
316	8054	42761
317	8078	42731
318	8104	42707
319	8128	42673
320	8154	42654
321	8179	42625
322	8205	42601
323	8230	42573
324	8255	42546
325	8280	42521
326	8303	42482
327	8328	42454
328	8353	42426
329	8377	42394
330	8401	42365
331	8427	42339
332	8452	42314
333	8476	42280
334	8499	42246
335	8525	42219
336	8550	42193
337	8575	42167
338	8601	42143
339	8626	42115
340	8651	42090
341	8673	42050
342	8698	42023
343	8723	41996
344	8749	41971
345	8774	41944
346	8800	41921
347	8825	41894
348	8852	41876
349	8878	41853
350	8903	41829
351	8944	41876
352	8969	41848
353	8993	41817
354	9018	41788
355	9043	41763
356	9069	41739
357	9094	41712
358	9119	41686
359	9146	41666
360	9170	41637
361	9194	41603
362	9219	41578
363	9245	41553
364	9269	41521
365	9294	41494
366	9317	41459
367	9342	41431
368	9367	41404
369	9393	41381
370	9417	41352
371	9443	41328
372	9468	41300
373	9493	41273
374	9517	41241
375	9542	41215
376	9567	41186
377	9593	41167
378	9615	41126
379	9641	41103
380	9665	41073
381	9691	41048
382	9716	41022
383	9743	41004
384	9768	40976
385	9794	40954
386	9819	40928
387	9844	40899
388	9869	40873
389	9895	40851
390	9921	40828
391	9946	40799
392	9970	40771
393	9997	40750
394	10022	40724
395	10047	40697
396	10072	40671
397	10096	40641
398	10123	40620
399	10162	40649
400	10191	40637
401	10218	40618
402	10242	40587
403	10266	40558
404	10291	40532
405	10317	40508
406	10344	40486
407	10369	40462
408	10394	40432
409	10419	40405
410	10443	40377
411	10468	40349
412	10493	40321
413	10517	40291
414	10542	40264
415	10567	40236
416	10590	40204
417	10616	40179
418	10641	40153
419	10666	40126
420	10690	40095
421	10716	40070
422	10741	40043
423	10766	40020
424	10793	39999
425	10818	39971
426	10842	39941
427	10868	39919
428	10893	39893
429	10919	39868
430	10944	39842
431	10969	39815
432	10993	39785
433	11018	39759
434	11044	39733
435	11069	39707
436	11094	39681
437	11118	39652
438	11143	39624
439	11168	39598
440	11195	39576
441	11219	39549
442	11244	39519
443	11268	39491
444	11293	39463
445	11317	39434
446	11343	39408
447	11368	39383
448	11393	39357
449	11419	39332
450	11442	39301
451	11468	39275
452	11494	39253
453	11518	39225
454	11543	39197
455	11568	39170
456	11594	39146
457	11619	39121
458	11644	39092
459	11668	39065
460	11694	39039
461	11718	39011
462	11743	38985
463	11769	38959
464	11794	38934
465	11819	38908
466	11844	38881
467	11870	38857
468	11895	38832
469	11922	38810
470	11947	38783
471	11971	38756
472	11995	38726
473	12020	38697
474	12044	38670
475	12070	38644
476	12094	38616
477	12119	38588
478	12143	38559
479	12169	38536
480	12194	38511
481	12219	38482
482	12243	38455
483	12268	38428
484	12291	38394
485	12320	38379
486	12345	38354
487	12369	38325
488	12393	38297
489	12418	38268
490	12443	38243
491	12470	38221
492	12495	38196
493	12520	38170
494	12545	38142
495	12569	38115
496	12595	38090
497	12619	38061
498	12643	38032
499	12665	37997
500	12692	37975
501	12716	37946
502	12740	37918
503	12766	37895
504	12791	37868
505	12816	37841
506	12841	37814
507	12867	37790
508	12892	37766
509	12917	37739
510	12941	37710
511	12967	37686
512	12993	37662
513	13017	37635
514	13044	37615
515	13068	37585
516	13094	37560
517	13118	37532
518	13143	37506
519	13169	37482
520	13194	37456
521	13218	37425
522	13242	37397
523	13266	37368
524	13292	37345
525	13317	37319
526	13341	37290
527	13366	37264
528	13392	37241
529	13418	37217
530	13443	37190
531	13467	37162
532	13493	37139
533	13516	37107
534	13542	37084
535	13567	37058
536	13594	37037
537	13620	37013
538	13644	36985
539	13678	36983
540	13702	36952
541	13728	36929
542	13752	36901
543	13777	36874
544	13802	36848
545	13826	36821
546	13852	36796
547	13878	36773
548	13903	36748
549	13927	36718
550	13952	36691
551	13977	36664
552	14002	36640
553	14028	36615
554	14052	36587
555	14076	36557
556	14100	36530
557	14125	36504
558	14152	36482
559	14177	36457
560	14202	36430
561	14226	36402
562	14250	36373
563	14273	36341
564	14299	36317
565	14324	36291
566	14350	36267
567	14374	36240
568	14399	36214
569	14425	36190
570	14458	36184
571	14483	36158
572	14507	36129
573	14532	36103
574	14560	36084
575	14585	36059
576	14611	36034
577	14634	36004
578	14659	35977
579	14684	35952
580	14715	35940
581	14739	35912
582	14764	35884
583	14788	35856
584	14811	35825
585	14835	35797
586	14862	35775
587	14887	35749
588	14911	35721
589	14935	35694
590	14961	35668
591	14986	35644
592	15011	35617
593	15035	35588
594	15061	35565
595	15086	35538
596	15111	35512
597	15137	35488
598	15162	35464
599	15188	35439
600	15212	35410
601	15237	35384
602	15260	35355
603	15285	35327
604	15310	35301
605	15333	35270
606	15358	35246
607	15383	35219
608	15408	35194
609	15433	35169
610	15458	35142
611	15484	35117
612	15508	35089
613	15532	35061
614	15558	35037
615	15583	35013
616	15607	34985
617	15634	34962
618	15659	34936
619	15683	34909
620	15709	34883
621	15733	34857
622	15758	34830
623	15782	34803
624	15807	34775
625	15833	34752
626	15859	34729
627	15886	34706
628	15910	34680
629	15935	34653
630	15960	34627
631	15986	34602
632	16009	34574
633	16034	34547
634	16059	34521
635	16084	34495
636	16107	34466
637	16132	34440
638	16156	34411
639	16182	34387
640	16206	34359
641	16231	34334
642	16253	34301
643	16280	34279
644	16306	34256
645	16331	34230
646	16356	34204
647	16380	34175
648	16404	34148
649	16430	34124
650	16454	34096
651	16478	34069
652	16503	34044
653	16529	34019
654	16554	33994
655	16578	33966
656	16600	33933
657	16627	33912
658	16652	33886
659	16677	33859
660	16702	33834
661	16728	33810
662	16751	33781
663	16776	33755
664	16801	33728
665	16826	33703
666	16851	33678
667	16876	33651
668	16901	33625
669	16926	33599
670	16951	33573
671	16976	33548
672	17001	33522
673	17027	33498
674	17050	33470
675	17076	33445
676	17102	33421
677	17128	33397
678	17154	33374
679	17179	33349
680	17205	33324
681	17230	33299
682	17256	33275
683	17281	33249
684	17305	33221
685	17330	33195
686	17354	33168
687	17378	33140
688	17403	33115
689	17428	33089
690	17453	33063
691	17477	33036
692	17502	33009
693	17528	32986
694	17554	32961
695	17578	32935
696	17605	32912
697	17630	32887
698	17657	32864
699	17682	32839
700	17707	32813
701	17733	32789
702	17758	32764
703	17782	32736
704	17808	32711
705	17832	32684
706	17856	32657
707	17882	32632
708	17906	32604
709	17931	32579
710	17956	32553
711	17981	32527
712	18005	32501
713	18029	32473
714	18054	32448
715	18079	32421
716	18104	32396
717	18130	32371
718	18154	32344
719	18179	32319
720	18204	32294
721	18230	32269
722	18255	32244
723	18281	32220
724	18306	32194
725	18332	32170
726	18357	32145
727	18382	32119
728	18407	32094
729	18432	32067
730	18457	32041
731	18482	32016
732	18508	31992
733	18533	31966
734	18558	31941
735	18583	31914
736	18608	31890
737	18632	31862
738	18658	31838
739	18684	31814
740	18710	31790
741	18735	31764
742	18762	31742
743	18788	31717
744	18813	31692
745	18838	31667
746	18865	31643
747	18889	31616
748	18913	31590
749	18963	31605
750	18993	31588
751	19023	31570
752	19047	31542
753	19071	31516
754	19097	31492
755	19123	31467
756	19148	31441
757	19170	31411
758	19195	31385
759	19221	31361
760	19245	31333
761	19270	31308
762	19294	31281
763	19320	31256
764	19343	31227
765	19368	31202
766	19392	31175
767	19417	31148
768	19442	31123
769	19467	31098
770	19493	31072
771	19518	31048
772	19544	31022
773	19567	30995
774	19591	30966
775	19615	30940
776	19641	30915
777	19665	30889
778	19690	30862
779	19716	30839
780	19741	30813
781	19766	30787
782	19792	30762
783	19817	30737
784	19842	30710
785	19866	30684
786	19892	30659
787	19917	30634
788	19943	30610
789	19967	30583
790	19991	30556
791	20016	30530
792	20041	30503
793	20068	30481
794	20093	30456
795	20118	30430
796	20144	30405
797	20168	30379
798	20194	30354
799	20220	30330
800	20244	30303
801	20268	30276
802	20294	30252
803	20320	30228
804	20347	30205
805	20371	30178
806	20397	30153
807	20420	30125
808	20446	30100
809	20470	30074
810	20495	30048
811	20521	30024
812	20545	29996
813	20570	29971
814	20595	29945
815	20620	29919
816	20643	29891
817	20669	29866
818	20694	29842
819	20719	29816
820	20745	29792
821	20770	29766
822	20796	29741
823	20821	29716
824	20847	29691
825	20872	29666
826	20898	29642
827	20924	29617
828	20948	29590
829	20972	29563
830	20997	29537
831	21023	29513
832	21046	29485
833	21071	29459
834	21096	29433
835	21118	29404
836	21142	29377
837	21166	29350
838	21191	29324
839	21216	29299
840	21242	29274
841	21263	29243
842	21290	29220
843	21314	29194
844	21340	29169
845	21364	29142
846	21390	29118
847	21418	29096
848	21443	29071
849	21471	29049
850	21497	29024
851	21524	29002
852	21550	28978
853	21574	28950
854	21600	28926
855	21626	28902
856	21651	28877
857	21675	28850
858	21699	28822
859	21724	28797
860	21747	28769
861	21771	28742
862	21795	28716
863	21818	28687
864	21844	28663
865	21869	28637
866	21896	28614
867	21920	28587
868	21945	28562
869	21969	28534
870	21985	28497
871	22008	28469
872	22034	28445
873	22059	28420
874	22085	28395
875	22109	28368
876	22127	28334
877	22144	28298
878	22169	28272
879	22193	28245
880	22217	28219
881	22241	28192
882	22265	28166
883	22289	28139
884	22313	28111
885	22337	28085
886	22361	28058
887	22386	28033
888	22412	28009
889	22437	27983
890	22462	27958
891	22487	27933
892	22509	27904
893	22535	27878
894	22559	27852
895	22584	27827
896	22608	27800
897	22632	27774
898	22656	27747
899	22680	27720
900	22703	27692
901	22729	27668
902	22755	27643
903	22779	27617
904	22805	27593
905	22829	27566
906	22856	27543
907	22878	27515
908	22903	27489
909	22930	27465
910	22953	27438
911	22977	27411
912	23001	27385
913	23026	27359
914	23051	27334
915	23076	27309
916	23101	27283
917	23124	27255
918	23149	27230
919	23172	27202
920	23197	27176
921	23222	27151
922	23244	27122
923	23270	27098
924	23295	27073
925	23320	27048
926	23344	27021
927	23368	26994
928	23391	26966
929	23417	26942
930	23443	26918
931	23468	26892
932	23492	26866
933	23516	26840
934	23540	26813
935	23565	26787
936	23590	26763
937	23616	26738
938	23640	26711
939	23664	26684
940	23689	26660
941	23713	26633
942	23737	26607
943	23763	26583
944	23788	26557
945	23813	26531
946	23837	26505
947	23862	26480
948	23888	26455
949	23912	26429
950	23935	26402
951	23961	26377
952	23985	26351
953	24012	26328
954	24034	26300
955	24059	26274
956	24085	26249
957	24109	26223
958	24134	26197
959	24152	26165
960	24167	26129
961	24192	26104
962	24217	26078
963	24241	26052
964	24265	26025
965	24289	25999
966	24314	25973
967	24339	25948
968	24365	25924
969	24391	25900
970	24431	25891
971	24455	25864
972	24480	25838
973	24506	25814
974	24531	25789
975	24557	25765
976	24581	25738
977	24606	25713
978	24632	25689
979	24657	25664
980	24680	25636
981	24711	25617
982	24735	25591
983	24759	25565
984	24783	25538
985	24808	25513
986	24833	25487
987	24859	25462
988	24885	25439
989	24911	25414
990	24936	25388
991	24962	25364
992	24988	25340
993	25011	25313
994	25037	25289
995	25064	25265
996	25088	25239
997	25113	25214
998	25138	25189
999	25163	25163
1000	25187	25137
1001	25214	25113
1002	25238	25087
1003	25262	25061
1004	25285	25033
1005	25307	25005
1006	25332	24980
1007	25356	24954
1008	25381	24929
1009	25405	24902
1010	25430	24877
1011	25455	24851
1012	25479	24825
1013	25505	24800
1014	25529	24775
1015	25551	24746
1016	25577	24722
1017	25602	24697
1018	25625	24670
1019	25649	24643
1020	25673	24617
1021	25697	24591
1022	25734	24577
1023	25757	24550
1024	25782	24525
1025	25806	24498
1026	25831	24473
1027	25855	24446
1028	25880	24422
1029	25905	24396
1030	25929	24370
1031	25955	24345
1032	25978	24318
1033	26004	24294
1034	26029	24268
1035	26054	24243
1036	26080	24219
1037	26106	24194
1038	26129	24167
1039	26154	24142
1040	26177	24115
1041	26202	24089
1042	26226	24063
1043	26250	24038
1044	26276	24013
1045	26302	23988
1046	26327	23963
1047	26352	23938
1048	26376	23912
1049	26401	23887
1050	26426	23862
1051	26452	23837
1052	26475	23810
1053	26498	23783
1054	26524	23759
1055	26547	23731
1056	26573	23707
1057	26598	23682
1058	26625	23658
1059	26650	23633
1060	26673	23606
1061	26696	23579
1062	26722	23554
1063	26746	23528
1064	26772	23504
1065	26797	23479
1066	26823	23454
1067	26847	23429
1068	26872	23403
1069	26898	23379
1070	26925	23355
1071	26949	23329
1072	26974	23304
1073	27001	23280
1074	27026	23255
1075	27053	23231
1076	27078	23206
1077	27101	23179
1078	27124	23152
1079	27150	23128
1080	27176	23103
1081	27202	23079
1082	27228	23054
1083	27250	23027
1084	27274	23000
1085	27298	22975
1086	27325	22951
1087	27350	22926
1088	27375	22900
1089	27399	22874
1090	27424	22849
1091	27449	22824
1092	27483	22806
1093	27508	22780
1094	27533	22755
1095	27558	22730
1096	27581	22704
1097	27607	22679
1098	27631	22653
1099	27656	22628
1100	27682	22603
1101	27707	22577
1102	27731	22552
1103	27771	22538
1104	27805	22521
1105	27835	22500
1106	27859	22473
1107	27885	22449
1108	27909	22423
1109	27934	22397
1110	27959	22372
1111	27983	22346
1112	28006	22319
1113	28032	22294
1114	28057	22270
1115	28082	22244
1116	28109	22221
1117	28135	22196
1118	28158	22169
1119	28184	22145
1120	28210	22120
1121	28236	22096
1122	28262	22071
1123	28285	22044
1124	28311	22019
1125	28334	21993
1126	28359	21967
1127	28383	21941
1128	28409	21917
1129	28435	21892
1130	28460	21867
1131	28483	21840
1132	28508	21815
1133	28533	21789
1134	28558	21764
1135	28582	21738
1136	28609	21714
1137	28635	21690
1138	28660	21665
1139	28685	21639
1140	28711	21615
1141	28737	21590
1142	28761	21565
1143	28787	21540
1144	28811	21514
1145	28837	21489
1146	28864	21465
1147	28887	21439
1148	28910	21412
1149	28933	21385
1150	28957	21359
1151	28980	21332
1152	29005	21307
1153	29031	21283
1154	29057	21258
1155	29082	21232
1156	29106	21207
1157	29133	21183
1158	29159	21158
1159	29185	21134
1160	29210	21108
1161	29234	21083
1162	29259	21058
1163	29285	21033
1164	29312	21009
1165	29338	20984
1166	29362	20958
1167	29388	20934
1168	29414	20909
1169	29440	20885
1170	29466	20860
1171	29490	20834
1172	29515	20809
1173	29542	20785
1174	29567	20759
1175	29590	20733
1176	29615	20708
1177	29640	20683
1178	29665	20657
1179	29690	20632
1180	29715	20606
1181	29739	20581
1182	29765	20556
1183	29791	20531
1184	29816	20506
1185	29841	20481
1186	29867	20456
1187	29892	20431
1188	29916	20405
1189	29942	20380
1190	29967	20356
1191	29993	20331
1192	30019	20306
1193	30043	20280
1194	30067	20254
1195	30092	20229
1196	30119	20205
1197	30144	20180
1198	30170	20155
1199	30193	20128
1200	30218	20103
1201	30243	20078
1202	30267	20052
1203	30293	20028
1204	30318	20002
1205	30341	19975
1206	30366	19950
1207	30391	19925
1208	30416	19900
1209	30440	19874
1210	30465	19848
1211	30489	19823
1212	30514	19798
1213	30540	19773
1214	30565	19748
1215	30590	19722
1216	30616	19698
1217	30640	19672
1218	30666	19647
1219	30691	19622
1220	30715	19596
1221	30739	19570
1222	30765	19545
1223	30791	19521
1224	30817	19496
1225	30841	19471
1226	30867	19446
1227	30891	19420
1228	30917	19395
1229	30942	19370
1230	30968	19345
1231	30991	19319
1232	31017	19294
1233	31041	19269
1234	31066	19243
1235	31093	19219
1236	31119	19194
1237	31143	19168
1238	31167	19143
1239	31193	19118
1240	31219	19094
1241	31244	19068
1242	31269	19043
1243	31290	19016
1244	31317	18991
1245	31344	18967
1246	31369	18942
1247	31396	18918
1248	31421	18893
1249	31447	18868
1250	31472	18843
1251	31497	18817
1252	31521	18791
1253	31548	18768
1254	31574	18743
1255	31600	18718
1256	31626	18693
1257	31651	18668
1258	31678	18644
1259	31704	18620
1260	31729	18594
1261	31762	18574
1262	31787	18549
1263	31812	18523
1264	31835	18497
1265	31861	18472
1266	31886	18447
1267	31911	18422
1268	31935	18396
1269	31958	18370
1270	31984	18344
1271	32009	18319
1272	32031	18293
1273	32057	18268
1274	32082	18243
1275	32108	18218
1276	32131	18192
1277	32157	18167
1278	32176	18138
1279	32201	18113
1280	32225	18087
1281	32251	18063
1282	32276	18037
1283	32302	18013
1284	32327	17987
1285	32353	17963
1286	32378	17937
1287	32404	17912
1288	32429	17887
1289	32454	17862
1290	32480	17837
1291	32508	17813
1292	32534	17789
1293	32558	17763
1294	32587	17740
1295	32613	17715
1296	32637	17690
1297	32663	17665
1298	32690	17641
1299	32718	17617
1300	32745	17593
1301	32772	17569
1302	32802	17546
1303	32830	17523
1304	32856	17498
1305	32880	17472
1306	32906	17447
1307	32932	17422
1308	32958	17398
1309	32983	17373
1310	33010	17348
1311	33035	17323
1312	33060	17298
1313	33083	17271
1314	33107	17246
1315	33132	17220
1316	33156	17195
1317	33182	17170
1318	33207	17145
1319	33233	17120
1320	33261	17096
1321	33285	17070
1322	33311	17046
1323	33338	17021
1324	33362	16996
1325	33385	16969
1326	33410	16944
1327	33436	16919
1328	33462	16894
1329	33486	16869
1330	33512	16844
1331	33537	16819
1332	33564	16794
1333	33589	16769
1334	33615	16744
1335	33641	16720
1336	33666	16694
1337	33691	16669
1338	33718	16645
1339	33745	16620
1340	33772	16596
1341	33799	16572
1342	33824	16547
1343	33848	16521
1344	33875	16496
1345	33898	16470
1346	33925	16446
1347	33950	16421
1348	33974	16395
1349	33998	16369
1350	34023	16344
1351	34046	16318
1352	34073	16293
1353	34096	16267
1354	34120	16241
1355	34144	16215
1356	34167	16190
1357	34192	16164
1358	34215	16138
1359	34240	16113
1360	34266	16088
1361	34291	16063
1362	34314	16036
1363	34341	16012
1364	34365	15987
1365	34390	15961
1366	34416	15936
1367	34441	15911
1368	34466	15886
1369	34493	15862
1370	34518	15836
1371	34544	15812
1372	34569	15786
1373	34595	15762
1374	34620	15736
1375	34646	15711
1376	34670	15686
1377	34695	15660
1378	34721	15635
1379	34746	15610
1380	34770	15585
1381	34793	15558
1382	34820	15534
1383	34849	15511
1384	34880	15488
1385	34909	15465
1386	34935	15440
1387	34962	15415
1388	34987	15390
1389	35010	15364
1390	35035	15339
1391	35061	15314
1392	35087	15289
1393	35112	15264
1394	35138	15239
1395	35163	15213
1396	35189	15189
1397	35214	15163
1398	35240	15139
1399	35267	15114
1400	35293	15089
1401	35318	15064
1402	35345	15040
1403	35370	15014
1404	35393	14988
1405	35418	14963
1406	35443	14938
1407	35469	14913
1408	35492	14887
1409	35517	14861
1410	35542	14836
1411	35566	14811
1412	35591	14785
1413	35616	14760
1414	35642	14735
1415	35667	14710
1416	35691	14684
1417	35716	14659
1418	35741	14633
1419	35767	14609
1420	35792	14583
1421	35824	14561
1422	35847	14535
1423	35873	14510
1424	35898	14485
1425	35924	14460
1426	35949	14435
1427	35973	14409
1428	35997	14383
1429	36020	14357
1430	36048	14333
1431	36072	14307
1432	36097	14282
1433	36120	14256
1434	36145	14231
1435	36171	14206
1436	36197	14181
1437	36222	14156
1438	36248	14131
1439	36273	14106
1440	36298	14081
1441	36331	14058
1442	36355	14033
1443	36381	14008
1444	36404	13982
1445	36429	13957
1446	36454	13931
1447	36493	13911
1448	36525	13889
1449	36554	13865
1450	36579	13840
1451	36605	13815
1452	36631	13790
1453	36655	13764
1454	36680	13739
1455	36704	13713
1456	36729	13688
1457	36754	13663
1458	36779	13637
1459	36805	13613
1460	36830	13587
1461	36854	13561
1462	36878	13536
1463	36901	13510
1464	36926	13485
1465	36950	13459
1466	36975	13434
1467	36999	13408
1468	37025	13383
1469	37050	13358
1470	37077	13333
1471	37102	13308
1472	37127	13283
1473	37149	13256
1474	37176	13232
1475	37199	13206
1476	37225	13181
1477	37249	13155
1478	37273	13130
1479	37298	13105
1480	37324	13080
1481	37349	13054
1482	37374	13029
1483	37398	13003
1484	37434	12982
1485	37459	12957
1486	37485	12931
1487	37509	12906
1488	37534	12881
1489	37559	12855
1490	37584	12830
1491	37610	12805
1492	37636	12780
1493	37660	12755
1494	37685	12729
1495	37710	12704
1496	37736	12679
1497	37760	12654
1498	37785	12628
1499	37823	12607
1500	37848	12582
1501	37875	12557
1502	37910	12535
1503	37933	12510
1504	37958	12484
1505	37984	12459
1506	38008	12434
1507	38035	12409
1508	38060	12384
1509	38084	12358
1510	38109	12333
1511	38136	12308
1512	38162	12283
1513	38186	12258
1514	38210	12232
1515	38234	12206
1516	38259	12181
1517	38284	12156
1518	38311	12131
1519	38336	12106
1520	38362	12081
1521	38389	12056
1522	38418	12032
1523	38450	12009
1524	38479	11985
1525	38510	11961
1526	38538	11937
1527	38566	11913
1528	38594	11888
1529	38621	11863
1530	38648	11839
1531	38677	11815
1532	38704	11790
1533	38731	11765
1534	38754	11740
1535	38781	11715
1536	38807	11690
1537	38835	11665
1538	38863	11641
1539	38892	11617
1540	38918	11592
1541	38948	11568
1542	38977	11544
1543	39007	11520
1544	39034	11495
1545	39059	11470
1546	39084	11444
1547	39110	11419
1548	39137	11395
1549	39164	11370
1550	39192	11345
1551	39214	11319
1552	39241	11294
1553	39266	11269
1554	39293	11244
1555	39319	11219
1556	39345	11194
1557	39370	11169
1558	39396	11144
1559	39423	11119
1560	39450	11094
1561	39477	11069
1562	39503	11044
1563	39529	11019
1564	39556	10994
1565	39582	10969
1566	39607	10944
1567	39633	10919
1568	39667	10896
1569	39694	10871
1570	39722	10847
1571	39747	10821
1572	39772	10796
1573	39798	10771
1574	39825	10746
1575	39848	10720
1576	39872	10695
1577	39900	10670
1578	39934	10647
1579	39961	10622
1580	39986	10597
1581	40011	10571
1582	40039	10547
1583	40068	10522
1584	40099	10499
1585	40127	10474
1586	40154	10449
1587	40182	10425
1588	40208	10399
1589	40239	10376
1590	40267	10351
1591	40294	10326
1592	40322	10302
1593	40349	10277
1594	40374	10251
1595	40402	10227
1596	40432	10203
1597	40459	10178
1598	40484	10152
1599	40525	10131
1600	40549	10105
1601	40573	10080
1602	40598	10054
1603	40625	10029
1604	40649	10004
1605	40678	9979
1606	40703	9954
1607	40730	9929
1608	40757	9904
1609	40783	9879
1610	40812	9854
1611	40838	9829
1612	40864	9804
1613	40889	9779
1614	40914	9753
1615	40938	9728
1616	40965	9703
1617	40993	9678
1618	41018	9652
1619	41044	9627
1620	41073	9603
1621	41102	9578
1622	41126	9553
1623	41152	9528
1624	41179	9502
1625	41222	9481
1626	41252	9457
1627	41282	9433
1628	41308	9407
1629	41336	9383
1630	41362	9357
1631	41393	9333
1632	41423	9309
1633	41449	9284
1634	41476	9259
1635	41504	9234
1636	41533	9210
1637	41561	9185
1638	41588	9160
1639	41616	9135
1640	41641	9109
1641	41670	9085
1642	41695	9059
1643	41724	9035
1644	41751	9010
1645	41778	8985
1646	41809	8960
1647	41836	8936
1648	41866	8911
1649	41893	8886
1650	41921	8861
1651	41948	8836
1652	41970	8810
1653	41996	8785
1654	42022	8759
1655	42047	8734
1656	42070	8708
1657	42095	8683
1658	42120	8657
1659	42146	8632
1660	42173	8607
1661	42196	8581
1662	42220	8555
1663	42245	8530
1664	42271	8505
1665	42296	8479
1666	42318	8453
1667	42352	8429
