iter	Logloss
245	0.3068653509
246	0.3067135933
247	0.3065585237
248	0.3064642222
249	0.3062073556
250	0.306005348
251	0.3058431804
252	0.3056671586
253	0.3054522758
254	0.3052188587
255	0.3049764585
256	0.3048130855
257	0.3045761043
258	0.3043282787
259	0.304114813
260	0.3039569143
261	0.3037488175
262	0.3034955015
263	0.3033416154
264	0.3031803504
265	0.3029664729
266	0.3027467667
267	0.3025873887
268	0.3024312825
269	0.3022382765
270	0.3020460337
271	0.3018983764
272	0.3017185703
273	0.3015821091
274	0.3014064593
275	0.30121569
276	0.3010279755
277	0.3008458456
278	0.3006574785
279	0.3004238652
280	0.3003128098
281	0.300175629
282	0.3000309747
283	0.2997256149
284	0.2995886404
285	0.2993969591
286	0.2992128252
287	0.2990094311
288	0.2988685723
289	0.2985731249
290	0.2983324234
291	0.2981468498
292	0.2979259666
293	0.2977328196
294	0.2975418318
295	0.2973827829
296	0.2972546533
297	0.2970261365
298	0.2968826656
299	0.2967181125
300	0.2966318049
301	0.2964768581
302	0.29628325
303	0.2961263305
304	0.296015564
305	0.2958412683
306	0.2956963126
307	0.2955563285
308	0.2954230998
309	0.2952314917
310	0.2950237236
311	0.2948976431
312	0.294620631
313	0.294491531
314	0.2943764196
315	0.2942628617
316	0.2941125132
317	0.2939632234
318	0.2938145448
319	0.293662478
320	0.2935558859
321	0.2934220297
322	0.2933284872
323	0.2931852747
324	0.2930569
325	0.2928621476
326	0.2927062888
327	0.2926025837
328	0.2924994034
329	0.2923526218
330	0.2922761611
331	0.2921085422
332	0.2919396839
333	0.2917960429
334	0.2916670015
335	0.2914611123
336	0.2913272867
337	0.2912497635
338	0.2910863206
339	0.290974685
340	0.2908686036
341	0.2907716576
342	0.2906348636
343	0.2905231522
344	0.2904121754
345	0.2903129807
346	0.290184697
347	0.2900429719
348	0.2899342317
349	0.2897833725
350	0.2896592882
351	0.2895283914
352	0.2894045724
353	0.2892811125
354	0.2891168882
355	0.2890246819
356	0.2889474793
357	0.2888778009
358	0.2887432297
359	0.2886347429
360	0.2885130989
361	0.2883662626
362	0.2882436264
363	0.2881131019
364	0.2879568798
365	0.2878158683
366	0.2877222939
367	0.2876407486
368	0.2875380928
369	0.2874364233
370	0.2872485278
371	0.2871681089
372	0.2869970412
373	0.2868844083
374	0.2868013783
375	0.2867021942
376	0.2866008323
377	0.286504262
378	0.2863767129
379	0.2862617589
380	0.2861829382
381	0.2860077013
382	0.2858886548
383	0.2857134335
384	0.2855894754
385	0.2853919852
386	0.2852227689
387	0.2851479383
388	0.285027732
389	0.2849243735
390	0.2847945245
391	0.28467021
392	0.2845653701
393	0.2844147844
394	0.2842830562
395	0.2841943814
396	0.2840659976
397	0.2840138967
398	0.2839210363
399	0.2838684667
400	0.2837177704
401	0.2835804582
402	0.2834571272
403	0.283342729
404	0.2831678532
405	0.283057861
406	0.2829120671
407	0.2827955438
408	0.2827065271
409	0.2826116328
410	0.2825168725
411	0.282446892
412	0.2823566075
413	0.282269456
414	0.2821050456
415	0.2819882491
416	0.2818574191
417	0.2817539056
418	0.2816211275
419	0.2815507946
420	0.2814231688
421	0.2813507238
422	0.2812136376
423	0.2810742131
424	0.2810163598
425	0.2808231153
426	0.2807292112
427	0.280621432
428	0.2804808945
429	0.2803482139
430	0.2802430366
431	0.2801039335
432	0.2799802608
433	0.2798655621
434	0.2798174933
435	0.2797357853
436	0.2797065284
437	0.279571824
438	0.2794612369
439	0.2793672837
440	0.2792888892
441	0.2792004407
442	0.2790540287
443	0.2789890914
444	0.2788773654
445	0.2787223507
446	0.2786464467
447	0.2785192273
448	0.2784212567
449	0.2783410591
450	0.2782612698
451	0.2781579469
452	0.2780486964
453	0.2779329802
454	0.2778029766
455	0.2777417532
456	0.2776265415
457	0.2775085255
458	0.2774198205
459	0.2773520775
460	0.2773065774
461	0.2772153266
462	0.2771630649
463	0.2770862468
464	0.2770383777
465	0.2769017374
466	0.2768116451
467	0.276715981
468	0.2766666719
469	0.2765623725
470	0.2764744579
471	0.2763887183
472	0.2762686241
473	0.2762167293
474	0.2761078436
475	0.2760270397
476	0.2759414971
477	0.2757792279
478	0.2757381707
479	0.2756811966
480	0.2755890905
481	0.2755062498
482	0.2754519431
483	0.2753342739
484	0.2752027365
485	0.2751317429
486	0.2750054002
487	0.2749384299
488	0.2747820729
489	0.2747006609
490	0.2745771819
491	0.2744504841
492	0.2743614656
493	0.274245132
494	0.2741761415
495	0.2741117574
496	0.2740272731
497	0.2739414318
498	0.2738712911
499	0.2737732614
